room_type,neighborhood,reviews,overall_satisfaction,accommodates,bedrooms,price,latitude,longitude
Shared room,Eixample,27,4.5,10,1.0,264.0,41.391617,2.162516
Shared room,Sants-Montjuïc,13,4.0,12,1.0,129.0,41.373267999999996,2.170138
Shared room,Sants-Montjuïc,11,4.0,12,1.0,129.0,41.37236,2.1692150000000003
Shared room,Eixample,9,5.0,2,1.0,72.0,41.391836,2.154014
Shared room,Eixample,10,5.0,2,1.0,64.0,41.387623,2.148761
Shared room,Sants-Montjuïc,67,4.0,16,1.0,45.0,41.378011,2.129361
Shared room,Ciutat Vella,9,5.0,2,1.0,60.0,41.379428999999995,2.1909389999999997
Shared room,Eixample,6,4.5,8,1.0,289.0,41.392055,2.154293
Shared room,Eixample,4,4.0,6,1.0,193.0,41.392044,2.153721
Shared room,Sant Martí,5,4.5,2,1.0,133.0,41.407672999999996,2.2021319999999998
Shared room,Eixample,20,4.0,4,1.0,144.0,41.393532,2.1526680000000002
Shared room,Sants-Montjuïc,8,4.0,4,1.0,114.0,41.372717,2.1691439999999997
Shared room,Sants-Montjuïc,6,4.0,6,1.0,114.0,41.372254999999996,2.168686
Shared room,Sants-Montjuïc,9,4.0,6,1.0,114.0,41.373335,2.170512
Shared room,Eixample,28,4.0,4,1.0,84.0,41.409357,2.176395
Shared room,Eixample,4,5.0,1,1.0,100.0,41.387109,2.170089
Shared room,Sants-Montjuïc,17,3.5,16,1.0,66.0,41.373472,2.170715
Shared room,Les Corts,15,4.0,3,1.0,66.0,41.382368,2.1259
Shared room,Ciutat Vella,69,4.5,2,1.0,55.0,41.378853,2.178555
Shared room,Sants-Montjuïc,12,4.0,10,1.0,61.0,41.372971,2.168543
Shared room,Ciutat Vella,9,4.0,2,1.0,61.0,41.380556,2.189145
Shared room,Sant Martí,5,5.0,2,1.0,47.0,41.398724,2.204138
Shared room,Eixample,4,4.5,1,1.0,61.0,41.401406,2.181331
Shared room,Ciutat Vella,35,4.5,1,1.0,55.0,41.387716999999995,2.180169
Shared room,Horta-Guinardó,37,4.5,2,1.0,58.0,41.412276,2.16454
Shared room,Eixample,8,5.0,2,1.0,57.0,41.390392999999996,2.155961
Shared room,Nou Barris,5,4.5,4,1.0,29.0,41.44236,2.175385
Shared room,Horta-Guinardó,3,4.5,1,1.0,12.0,41.410664000000004,2.170341
Shared room,Horta-Guinardó,4,1.5,1,1.0,19.0,41.420853,2.1599369999999998
Shared room,Horta-Guinardó,4,1.0,1,1.0,26.0,41.420144,2.159807
Shared room,Eixample,41,4.5,8,1.0,28.0,41.393117,2.154236
Shared room,Gràcia,5,4.5,3,1.0,35.0,41.411578999999996,2.157052
Shared room,Horta-Guinardó,6,3.0,1,1.0,20.0,41.41968,2.1584779999999997
Shared room,Eixample,5,4.5,4,1.0,33.0,41.392835999999996,2.1527529999999997
Shared room,Eixample,13,4.5,6,1.0,29.0,41.391153,2.15437
Shared room,Sants-Montjuïc,6,1.0,1,1.0,41.0,41.366913000000004,2.134941
Shared room,Gràcia,38,4.5,1,1.0,24.0,41.398817,2.158036
Shared room,Gràcia,12,4.5,6,1.0,31.0,41.412927,2.1562799999999998
Shared room,Gràcia,60,4.5,1,1.0,24.0,41.398984000000006,2.157648
Shared room,Sant Martí,54,4.0,1,1.0,27.0,41.410343,2.194944
Shared room,Eixample,56,4.5,4,1.0,33.0,41.392007,2.154837
Shared room,Gràcia,85,4.5,1,1.0,24.0,41.398191,2.156548
Shared room,Les Corts,7,4.0,4,1.0,30.0,41.377614,2.123367
Shared room,Sarrià-Sant Gervasi,5,5.0,1,1.0,19.0,41.4003,2.149324
Shared room,Horta-Guinardó,5,2.0,2,1.0,20.0,41.421201,2.157868
Shared room,Sant Martí,3,5.0,1,1.0,30.0,41.391577000000005,2.18472
Shared room,Sants-Montjuïc,20,4.5,2,1.0,30.0,41.373585,2.143214
Shared room,Horta-Guinardó,6,3.5,2,1.0,26.0,41.413014000000004,2.174975
Shared room,Sant Martí,88,4.5,1,1.0,27.0,41.410154999999996,2.195195
Shared room,Gràcia,93,4.5,1,1.0,24.0,41.399344,2.157804
Shared room,Gràcia,20,4.5,1,1.0,36.0,41.413451,2.155535
Shared room,Sants-Montjuïc,19,5.0,1,1.0,28.0,41.37539,2.14661
Shared room,Sant Andreu,4,4.0,4,1.0,19.0,41.434184,2.2069400000000003
Shared room,Eixample,33,4.5,6,1.0,29.0,41.393219,2.1531439999999997
Shared room,Sants-Montjuïc,23,4.5,6,1.0,26.0,41.375855,2.134314
Shared room,Sarrià-Sant Gervasi,15,5.0,1,1.0,27.0,41.411149,2.142038
Shared room,Eixample,16,4.5,2,1.0,19.0,41.387078,2.151224
Shared room,Sants-Montjuïc,17,5.0,5,1.0,38.0,41.373056,2.1416560000000002
Shared room,Gràcia,105,4.5,1,1.0,24.0,41.397185,2.1572270000000002
Shared room,Nou Barris,3,5.0,1,1.0,12.0,41.446535,2.183076
Shared room,Sant Martí,48,4.5,1,1.0,27.0,41.411884,2.193263
Shared room,Eixample,50,4.5,6,1.0,29.0,41.391746000000005,2.153137
Shared room,Les Corts,19,4.0,3,1.0,24.0,41.37741,2.123894
Shared room,Gràcia,15,5.0,2,1.0,35.0,41.412627,2.157127
Shared room,Ciutat Vella,9,4.5,2,1.0,19.0,41.379903000000006,2.174608
Shared room,Sants-Montjuïc,8,5.0,1,1.0,34.0,41.373490999999994,2.165997
Shared room,Gràcia,31,5.0,2,1.0,40.0,41.411146,2.1512689999999997
Shared room,Eixample,17,4.0,2,1.0,35.0,41.37838,2.153454
Shared room,Sant Martí,13,4.0,1,1.0,34.0,41.392025,2.1833650000000002
Shared room,Horta-Guinardó,3,5.0,2,1.0,30.0,41.412413,2.175192
Shared room,Sarrià-Sant Gervasi,14,4.0,1,1.0,12.0,41.399271,2.150103
Shared room,Sants-Montjuïc,80,4.0,4,1.0,30.0,41.37073,2.1427259999999997
Shared room,Sant Martí,10,4.5,1,1.0,30.0,41.390398,2.184708
Shared room,Eixample,40,4.5,1,1.0,24.0,41.381919,2.1577830000000002
Shared room,Eixample,9,4.5,1,1.0,31.0,41.409749,2.175048
Shared room,Eixample,29,4.5,4,1.0,30.0,41.391296000000004,2.1532720000000003
Shared room,Sant Martí,6,4.5,1,1.0,20.0,41.415192,2.217503
Shared room,Sant Martí,55,4.5,1,1.0,12.0,41.412159,2.194745
Shared room,Eixample,53,4.5,4,1.0,24.0,41.381865000000005,2.15279
Shared room,Eixample,88,4.5,1,1.0,20.0,41.393369,2.173332
Shared room,Gràcia,66,5.0,2,1.0,24.0,41.40015,2.158267
Shared room,Gràcia,37,4.5,3,1.0,30.0,41.411494,2.1561220000000003
Shared room,Gràcia,76,4.5,1,1.0,22.0,41.397824,2.156858
Entire home/apt,Gràcia,16,4.5,10,4.0,138.0,41.410408000000004,2.146691
Entire home/apt,Ciutat Vella,29,4.5,5,2.0,104.0,41.38038,2.172911
Entire home/apt,Eixample,13,4.5,9,4.0,543.0,41.388688,2.151436
Entire home/apt,Eixample,5,5.0,10,4.0,622.0,41.389288,2.170331
Entire home/apt,Horta-Guinardó,14,4.5,4,2.0,163.0,41.418284,2.1771529999999997
Entire home/apt,Eixample,5,4.0,6,2.0,48.0,41.376856,2.160617
Entire home/apt,Sants-Montjuïc,3,4.0,6,3.0,61.0,41.358931,2.137068
Entire home/apt,Horta-Guinardó,8,3.5,9,4.0,634.0,41.41531,2.165004
Entire home/apt,Eixample,10,4.5,6,3.0,288.0,41.403209000000004,2.176293
Entire home/apt,Sant Martí,32,4.5,6,2.0,231.0,41.413416,2.220952
Entire home/apt,Eixample,5,5.0,4,2.0,302.0,41.38695,2.159367
Entire home/apt,Eixample,44,4.5,4,2.0,239.0,41.388445000000004,2.1712380000000002
Entire home/apt,Ciutat Vella,7,4.5,4,2.0,204.0,41.383348,2.1695830000000003
Entire home/apt,Ciutat Vella,6,4.5,8,0.0,205.0,41.383129,2.179615
Entire home/apt,Ciutat Vella,73,4.5,5,3.0,150.0,41.381054,2.179579
Entire home/apt,Ciutat Vella,39,4.5,4,2.0,176.0,41.381386,2.172366
Entire home/apt,Sant Martí,6,4.0,10,4.0,181.0,41.409585,2.2082200000000003
Entire home/apt,Sants-Montjuïc,10,5.0,4,1.0,157.0,41.379395,2.138738
Entire home/apt,Eixample,6,5.0,5,2.0,178.0,41.383328999999996,2.162553
Entire home/apt,Eixample,3,4.0,3,1.0,169.0,41.37935,2.153731
Entire home/apt,Eixample,11,4.5,2,0.0,176.0,41.38827,2.171107
Entire home/apt,Sant Martí,14,3.5,10,4.0,157.0,41.410777,2.2145900000000003
Entire home/apt,Sant Martí,5,4.0,4,2.0,168.0,41.410821,2.18377
Entire home/apt,Ciutat Vella,205,5.0,3,1.0,157.0,41.384040999999996,2.179051
Entire home/apt,Ciutat Vella,4,4.0,4,2.0,167.0,41.375324,2.1878919999999997
Entire home/apt,Sant Martí,28,4.5,5,3.0,169.0,41.413344,2.21455
Entire home/apt,Ciutat Vella,239,5.0,2,1.0,181.0,41.38584,2.1818560000000002
Entire home/apt,Sants-Montjuïc,4,5.0,2,1.0,169.0,41.374280999999996,2.1624790000000003
Entire home/apt,Eixample,63,4.5,2,1.0,157.0,41.391073,2.156302
Entire home/apt,Ciutat Vella,21,4.0,4,1.0,168.0,41.379034000000004,2.167116
Entire home/apt,Ciutat Vella,28,5.0,3,0.0,163.0,41.386052,2.1773830000000003
Entire home/apt,Gràcia,16,4.0,5,2.0,174.0,41.403544000000004,2.151817
Entire home/apt,Eixample,9,5.0,3,1.0,156.0,41.387158,2.1603470000000002
Entire home/apt,Eixample,7,4.5,4,2.0,156.0,41.395818,2.157205
Entire home/apt,Eixample,151,4.5,4,1.0,163.0,41.3837,2.161324
Entire home/apt,Gràcia,20,4.5,5,2.0,129.0,41.408023,2.148216
Entire home/apt,Eixample,7,4.5,4,2.0,144.0,41.40054,2.170466
Entire home/apt,Eixample,4,5.0,4,1.0,144.0,41.384407,2.161755
Entire home/apt,Ciutat Vella,35,4.0,4,2.0,144.0,41.383177,2.182595
Entire home/apt,Ciutat Vella,25,4.5,3,1.0,134.0,41.383144,2.180561
Entire home/apt,Ciutat Vella,30,5.0,4,2.0,144.0,41.379395,2.175651
Entire home/apt,Ciutat Vella,10,4.5,6,3.0,144.0,41.381494,2.174271
Entire home/apt,Ciutat Vella,39,4.0,4,2.0,144.0,41.384127,2.18558
Entire home/apt,Ciutat Vella,33,3.5,6,2.0,132.0,41.385290000000005,2.183684
Entire home/apt,Sants-Montjuïc,5,5.0,3,2.0,127.0,41.375446000000004,2.122979
Entire home/apt,Sants-Montjuïc,9,5.0,2,1.0,129.0,41.373768,2.148742
Entire home/apt,Gràcia,3,4.5,2,1.0,132.0,41.400016,2.162874
Entire home/apt,Eixample,42,4.5,5,3.0,134.0,41.382311,2.1500220000000003
Entire home/apt,Eixample,15,4.5,3,1.0,133.0,41.395298,2.158071
Entire home/apt,Ciutat Vella,3,3.0,4,0.0,133.0,41.381444,2.165871
Entire home/apt,Ciutat Vella,55,4.0,3,0.0,144.0,41.386751000000004,2.178667
Entire home/apt,Ciutat Vella,30,5.0,2,1.0,134.0,41.384143,2.182353
Entire home/apt,Sarrià-Sant Gervasi,4,4.5,4,2.0,144.0,41.393553000000004,2.125695
Entire home/apt,Ciutat Vella,18,4.5,4,1.0,143.0,41.381094,2.177754
Entire home/apt,Gràcia,77,5.0,2,1.0,112.0,41.399353000000005,2.158516
Entire home/apt,Sants-Montjuïc,43,4.0,4,1.0,107.0,41.359497,2.137854
Entire home/apt,Ciutat Vella,22,4.5,4,2.0,114.0,41.378778999999994,2.1910979999999998
Entire home/apt,Ciutat Vella,12,3.5,4,2.0,119.0,41.378365,2.164227
Entire home/apt,Gràcia,38,4.5,4,2.0,108.0,41.413689,2.1535290000000002
Entire home/apt,Gràcia,21,5.0,3,1.0,112.0,41.403555,2.161654
Entire home/apt,Eixample,6,3.5,6,3.0,113.0,41.381576,2.151992
Entire home/apt,Ciutat Vella,26,4.5,3,0.0,121.0,41.383972,2.179321
Entire home/apt,Sant Martí,125,4.5,6,2.0,116.0,41.411747999999996,2.217727
Entire home/apt,Ciutat Vella,30,4.5,4,2.0,114.0,41.3784,2.190977
Entire home/apt,Sant Martí,69,5.0,4,2.0,121.0,41.399999,2.206433
